"family","n_days","na_obs_pct","na_ens_pct","mean_theta_obs","mean_theta_ens","sd_theta_obs","sd_theta_ens","mean_tau_obs","mean_tau_ens","sd_tau_obs","sd_tau_ens","mean_diff_theta","mean_abs_diff_theta"
"Clayton",1350,0,0.222222222222222,0.249866518933369,0.772569461352387,0.135658398827786,0.60577492290846,0.107933015337361,0.251905643066169,0.0519925275912075,0.127459099679801,0.522835067798709,0.546013255815101
"Frank",1350,3.85185185185185,0.740740740740741,0.748659929577738,2.2681449563092,0.506779963806043,1.60795369846538,0.0820211276029862,0.225612163358888,0.0545937985413091,0.132466217920873,1.54862313304327,1.64108875332539
"Gumbel",1350,0,0.222222222222222,1.1605026484596,1.40428386123849,0.0565759314381149,0.294724123263332,0.136317100106289,0.263756390308809,0.0408633495621643,0.119434410064192,0.243816311960364,0.254822778923102
